Start,Tenor,Alpha,Beta,Rho,Nu
1,1,0.139070071,0.9,-0.633219303,2.049525533
1,2,0.184644847,0.9,-0.525124299,1.677486643
1,3,0.196850564,0.9,-0.482855446,1.438200371
1,5,0.178060111,0.9,-0.414464658,1.064964626
1,10,0.171099486,0.9,-0.264615671,0.778196398
5,1,0.166349101,0.9,-0.584276324,1.338988878
5,2,0.198556067,0.9,-0.542316802,1.059578722
5,3,0.208939067,0.9,-0.544466833,0.936125903
5,5,0.186066378,0.9,-0.479170554,0.686251511
5,10,0.181800775,0.9,-0.485084668,0.465418515
10,1,0.175408561,0.9,-0.538488291,1.000043153
10,2,0.194025037,0.9,-0.540750753,0.92292533
10,3,0.199011843,0.9,-0.528018514,0.852106184
10,5,0.186696702,0.9,-0.511795953,0.710109715
10,10,0.171270617,0.9,-0.462480794,0.595034016
